institut,datum,urval,urval_skattat,V,S,MP,C,L,M,KD,SD
Demoskop / Inizio,2019-02-20,1200,True,9.2,27.1,3.4,9.7,2.7,17.7,9.0,19.5
Novus,2019-02-15,1800,True,9.1,29.0,3.4,7.5,2.7,18.3,7.4,21.2
Ipsos,2019-02-15,1500,True,10.0,28.0,4.0,8.0,4.0,17.0,9.0,19.0
Sifo,2019-02-15,1200,True,9.6,28.4,4.3,7.7,3.8,17.2,8.6,19.2
Demoskop,2019-02-15,1600,True,9.6,27.9,3.2,8.5,3.3,19.5,7.0,19.4
Sentio,2019-02-02,1000,True,9.5,27.8,4.0,7.3,3.9,17.7,7.1,20.4
Demoskop / Inizio,2019-01-25,1200,True,9.7,28.2,3.8,8.3,3.2,19.0,8.3,18.4
Demoskop,2019-01-15,1600,True,8.0,30.2,3.8,6.9,4.5,17.1,7.7,19.5
Ipsos,2019-01-15,1500,True,8.0,30.0,4.0,8.0,5.0,18.0,7.0,18.0
Sifo,2019-01-15,1200,True,8.5,29.3,3.9,6.9,3.6,19.5,7.5,19.9
Novus,2019-01-15,1800,True,7.6,31.8,3.9,7.6,3.4,18.9,6.2,19.2
Skop,2019-01-15,1200,True,8.9,30.2,3.1,8.3,4.0,18.1,9.5,16.9
Demoskop / Inizio,2018-12-27,1200,True,7.7,29.8,4.2,8.4,3.2,18.3,8.2,18.8
Ipsos,2018-12-15,1500,True,8.0,32.0,4.0,7.0,4.0,18.0,8.0,18.0
Sentio,2018-12-15,1000,True,8.0,28.4,3.9,6.9,4.2,18.0,6.1,22.3
Demoskop,2018-12-15,1600,True,8.0,28.4,4.1,8.4,4.4,18.9,5.8,20.7
Sifo,2018-12-15,1200,True,7.7,29.7,4.2,7.7,4.0,19.0,6.6,20.0
Novus,2018-12-15,1800,True,7.7,30.0,4.0,8.6,3.9,18.3,6.5,19.8
Demoskop / Inizio,2018-12-14,1200,True,7.2,29.4,3.7,9.0,3.3,18.5,7.7,19.4
Demoskop / Inizio,2018-11-22,1200,True,7.3,29.3,3.5,9.2,3.9,19.1,7.0,18.8
Sentio,2018-11-15,1000,True,9.3,28.1,3.8,9.3,3.3,18.6,5.3,20.2
Demoskop,2018-11-15,1600,True,7.8,29.2,4.2,8.6,4.1,18.3,4.9,21.1
Ipsos,2018-11-15,1500,True,8.0,28.0,4.0,10.0,5.0,18.0,5.0,20.0
SCB,2018-11-15,9000,True,8.4,30.5,4.0,8.6,4.3,19.2,5.4,18.3
Sifo,2018-11-15,1200,True,7.6,29.0,4.1,9.0,4.9,18.1,6.7,19.3
Novus,2018-11-15,1800,True,7.9,29.8,4.3,8.9,3.7,19.2,5.9,19.2
Demoskop / Inizio,2018-11-08,1200,True,7.8,29.4,3.8,9.8,4.0,18.2,5.9,18.9
Demoskop,2018-10-15,1600,True,7.7,30.6,3.5,8.7,4.8,18.8,6.1,18.0
Ipsos,2018-10-15,1500,True,8.0,29.0,5.0,9.0,5.0,19.0,5.0,19.0
Demoskop / Inizio,2018-10-15,1200,True,7.3,29.7,4.3,8.7,4.9,19.4,6.3,17.9
Novus,2018-10-15,1800,True,8.4,28.3,4.4,8.4,4.6,19.7,6.0,18.8
Sifo,2018-10-02,1200,True,7.9,29.4,4.1,9.1,4.9,18.8,6.0,18.6
Sifo,2018-10-01,1200,True,7.8,28.5,4.3,8.8,5.3,19.2,6.4,18.3
Demoskop / Inizio,2018-09-09,1200,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Sifo,2018-09-09,1200,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Novus,2018-09-09,1800,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Ipsos,2018-09-09,1500,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Skop,2018-09-09,1200,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
SCB,2018-09-09,9000,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Sentio,2018-09-09,1000,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
Demoskop,2018-09-09,1600,True,8.0,28.26,4.41,8.61,5.49,19.84,6.32,17.53
